#GO_term: the GO term
#Avg_gene_number: on the average this number of genes are found per simulation for the given GO category. In --mode gene every gene is only counted once whereas in --mode snp a single gene may be counted several times dependent on the SNP
#SNP_num: using the candidate SNPs this number of genes was found for the given GO category. In --mode gene every gene is only counted once whereas in --mode snp a single gene may be counted several times dependent on the SNP
#p-value: p-value (uncorrected for multiple testing)
#FDR: FDR (p-value after adjustment for multiple testing)
#Obs_gene_number: the number of genes (uniq) found for the given GO category
#Exp_gene_number: the number of genes that could at most be found for the given GO category, i.e.: genes of the given GO category that have an corresponding entry in the annotation file and contain at least one SNP
#Total_GO_genes: total number of genes for the given GO category in the GO association file
#GO_id: description of the given GO term
#Genes: comma separated list of the gene_ids found for the given GO category
GO_term	Avg_gene_number	SNP_num	p-value	FDR	Obs_gene_number	Exp_gene_number	Total_GO_genes	GO_id	Genes
GO:0052744	0.055	1	0.05424	0.971690529	1	7	7	phosphatidylinositol monophosphate phosphatase activity	fbgn0027506
GO:0044665	0.056	1	0.05449	0.971690529	1	8	9	MLL1/2 complex	fbgn0003862
GO:0006520	0.855	3	0.05462	0.971690529	3	170	178	cellular amino acid metabolic process	"fbgn0030660,fbgn0027093,fbgn0027083"
GO:0031062	0.056	1	0.05489	0.971690529	1	9	10	positive regulation of histone methylation	fbgn0263667
GO:0000398	0.885	3	0.05504	0.971690529	3	199	227	"mRNA splicing, via spliceosome"	"fbgn0028382,fbgn0038704,fbgn0035838"
GO:0000377	0.885	3	0.05504	0.971690529	3	199	227	"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile"	"fbgn0028382,fbgn0038704,fbgn0035838"
GO:0009744	0.394	2	0.0554	0.971690529	2	17	17	response to sucrose	"fbgn0024150,fbgn0011582"
GO:0000375	0.895	3	0.05664	0.971690529	3	201	229	"RNA splicing, via transesterification reactions"	"fbgn0028382,fbgn0038704,fbgn0035838"
GO:0034285	0.401	2	0.0574	0.971690529	2	19	19	response to disaccharide	"fbgn0024150,fbgn0011582"
GO:0007017	4.98	9	0.05828	0.971690529	9	398	431	microtubule-based process	"fbgn0024187,fbgn0027329,fbgn0034566,fbgn0034452,fbgn0263197,fbgn0002914,fbgn0260934,fbgn0038205,fbgn0263391"
GO:0035721	0.059	1	0.05836	0.971690529	1	7	7	intraciliary retrograde transport	fbgn0034452
GO:0016895	0.061	1	0.05996	0.971690529	1	10	11	"exodeoxyribonuclease activity, producing 5'-phosphomonoesters"	fbgn0038704
GO:0004529	0.061	1	0.05996	0.971690529	1	10	11	exodeoxyribonuclease activity	fbgn0038704
GO:0000413	0.062	1	0.06088	0.971690529	1	26	26	protein peptidyl-prolyl isomerization	fbgn0028382
GO:0032259	0.404	2	0.061	0.971690529	2	112	122	methylation	"fbgn0003862,fbgn0263667"
GO:0072583	0.062	1	0.06122	0.971690529	1	6	6	clathrin-mediated endocytosis	fbgn0003392
GO:0000785	1.511	4	0.06296	0.971690529	4	171	213	chromatin	"fbgn0267791,fbgn0002914,fbgn0034495,fbgn0065035"
GO:0031000	0.064	1	0.06305	0.971690529	1	12	12	response to caffeine	fbgn0024150
GO:0007632	0.426	2	0.06339	0.971690529	2	23	27	visual behavior	"fbgn0260938,fbgn0011582"
GO:0008536	0.066	1	0.06418	0.971690529	1	19	20	Ran GTPase binding	fbgn0053180
GO:0018208	0.067	1	0.06546	0.971690529	1	29	29	peptidyl-proline modification	fbgn0028382
GO:0010470	0.066	1	0.06567	0.971690529	1	5	5	regulation of gastrulation	fbgn0001105
GO:0003725	0.068	1	0.06577	0.971690529	1	19	22	double-stranded RNA binding	fbgn0038704
GO:0031146	0.433	2	0.06633	0.971690529	2	48	50	SCF-dependent proteasomal ubiquitin-dependent protein catabolic process	"fbgn0261786,fbgn0038202"
